Seconds Elapsed,us-west-1,us-east-1,us-central-1,us-south-1,loadgen-node
1.2e-05,0.5999999999999943,0.5999999999999943,2.5,1.0,1.2999999999999972
5.242629,5.400000000000006,5.5,13.5,3.5,2.5
10.508146,3.5,4.200000000000003,12.200000000000003,3.0999999999999943,3.200000000000003
15.771084,5.400000000000006,4.799999999999997,11.799999999999997,3.5999999999999943,2.299999999999997
21.020135,4.200000000000003,4.400000000000006,14.099999999999994,3.5999999999999943,2.700000000000003
26.26938,4.0,4.400000000000006,12.599999999999994,3.4000000000000057,2.299999999999997
31.516238,4.400000000000006,5.0,11.599999999999994,3.5999999999999943,2.299999999999997
36.763331,5.400000000000006,4.799999999999997,12.799999999999997,4.0,3.799999999999997
42.012947,5.400000000000006,4.400000000000006,13.0,3.299999999999997,2.700000000000003
47.26171,5.799999999999997,4.400000000000006,13.0,5.0,2.299999999999997
52.511711,4.599999999999994,4.599999999999994,12.400000000000006,3.5999999999999943,2.700000000000003
57.759594,6.5,4.400000000000006,12.299999999999997,2.9000000000000057,3.0
63.005176,5.400000000000006,4.200000000000003,12.900000000000006,1.7000000000000028,4.599999999999994
68.253658,7.700000000000003,4.599999999999994,12.099999999999994,1.9000000000000057,3.200000000000003
73.500337,4.599999999999994,4.799999999999997,13.400000000000006,2.9000000000000057,1.9000000000000057
78.747328,5.099999999999994,4.400000000000006,12.599999999999994,2.700000000000003,2.700000000000003
83.997068,4.599999999999994,4.900000000000006,13.400000000000006,3.0999999999999943,5.700000000000003
89.247294,6.099999999999994,4.0,12.299999999999997,1.9000000000000057,4.0
94.493852,5.5,4.400000000000006,12.0,2.0999999999999943,2.700000000000003
99.741067,6.700000000000003,4.400000000000006,12.0,1.9000000000000057,3.4000000000000057
104.986118,5.400000000000006,5.0,13.700000000000003,3.0999999999999943,3.4000000000000057
110.236677,5.5,5.299999999999997,13.5,2.700000000000003,3.200000000000003
115.479803,4.0,4.400000000000006,16.5,1.9000000000000057,2.0999999999999943
120.72704,6.099999999999994,4.599999999999994,12.400000000000006,2.0999999999999943,2.0999999999999943
125.973673,6.5,4.700000000000003,16.299999999999997,2.0999999999999943,4.599999999999994
131.221542,5.599999999999994,4.0,13.299999999999997,2.9000000000000057,2.700000000000003
136.467418,4.0,4.200000000000003,15.099999999999994,2.5,4.200000000000003
141.717258,5.200000000000003,4.400000000000006,12.400000000000006,3.299999999999997,4.700000000000003
146.964921,6.5,4.799999999999997,12.5,2.0999999999999943,2.299999999999997
152.209475,8.400000000000006,4.599999999999994,11.700000000000003,3.5999999999999943,4.5
157.457484,4.799999999999997,4.599999999999994,12.200000000000003,2.299999999999997,1.9000000000000057
162.70835,4.400000000000006,5.0,12.700000000000003,4.0,1.9000000000000057
167.957832,5.299999999999997,5.700000000000003,11.700000000000003,2.5,2.700000000000003
173.202688,6.099999999999994,4.400000000000006,12.900000000000006,3.5999999999999943,2.0999999999999943
178.451015,4.700000000000003,4.400000000000006,12.099999999999994,1.7000000000000028,2.299999999999997
