,Variable Name,LB,UB
172,"network_egress_cost[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",1024.0,1024.0
173,"network_egress_cost[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_west_1#start')]",1024.0,1024.0
174,"network_egress_cost[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",1024.0,1024.0
175,"network_egress_cost[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_east_1#start')]",0.0,0.0
176,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')]",0.0,0.0
177,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')]",0.0,0.0
178,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')]",0.0,0.0
179,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')]",0.0,0.0
180,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')]",0.0,0.0
181,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_west_1#start')]",0.0,0.0
182,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')]",0.0,0.0
183,"network_egress_cost[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')]",0.0,0.0
