counter,region,service,endpoint,rps
46,us-west-1,corecontrast,corecontrast@POST@/singlecore,55
46,us-west-1,corecontrast,corecontrast@POST@/multicore,197
46,us-west-1,sslateingress,sslateingress@POST@/singlecore,54
46,us-west-1,sslateingress,sslateingress@POST@/multicore,207
46,us-east-1,corecontrast,corecontrast@POST@/singlecore,143
46,us-east-1,corecontrast,corecontrast@POST@/multicore,298
46,us-east-1,sslateingress,sslateingress@POST@/singlecore,159
46,us-east-1,sslateingress,sslateingress@POST@/multicore,294
47,us-central-1,corecontrast,corecontrast@POST@/singlecore,51
47,us-central-1,corecontrast,corecontrast@POST@/multicore,196
47,us-central-1,sslateingress,sslateingress@POST@/singlecore,50
47,us-central-1,sslateingress,sslateingress@POST@/multicore,196
47,us-south-1,sslateingress,sslateingress@POST@/singlecore,51
47,us-south-1,sslateingress,sslateingress@POST@/multicore,192
47,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
47,us-south-1,corecontrast,corecontrast@POST@/multicore,214
47,us-west-1,corecontrast,corecontrast@POST@/singlecore,49
47,us-west-1,corecontrast,corecontrast@POST@/multicore,213
47,us-west-1,sslateingress,sslateingress@POST@/singlecore,51
47,us-west-1,sslateingress,sslateingress@POST@/multicore,203
47,us-east-1,corecontrast,corecontrast@POST@/singlecore,147
47,us-east-1,corecontrast,corecontrast@POST@/multicore,309
47,us-east-1,sslateingress,sslateingress@POST@/singlecore,150
47,us-east-1,sslateingress,sslateingress@POST@/multicore,303
48,us-central-1,corecontrast,corecontrast@POST@/singlecore,89
48,us-central-1,corecontrast,corecontrast@POST@/multicore,195
48,us-central-1,sslateingress,sslateingress@POST@/singlecore,60
48,us-central-1,sslateingress,sslateingress@POST@/multicore,210
48,us-south-1,sslateingress,sslateingress@POST@/singlecore,54
48,us-south-1,sslateingress,sslateingress@POST@/multicore,211
48,us-south-1,corecontrast,corecontrast@POST@/singlecore,93
48,us-south-1,corecontrast,corecontrast@POST@/multicore,220
48,us-west-1,corecontrast,corecontrast@POST@/singlecore,42
48,us-west-1,corecontrast,corecontrast@POST@/multicore,197
48,us-west-1,sslateingress,sslateingress@POST@/singlecore,55
