,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
18,us-west-1,sslateingress,POST,/cart/checkout,b905e6ddecdd13fb455c2b881164b36a,455c2b881164b36a,nan,0.0,53.0,53.0,2.0,53.0,-1,sslateingress@POST@/cart/checkout:0|,sslateingress@POST@/cart/checkout:140|
19,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,b905e6ddecdd13fb455c2b881164b36a,2a94665381839116,83eef0ad50960863,7.0,8.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:0|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:140|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:140|
20,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,b905e6ddecdd13fb455c2b881164b36a,b9e96fa453919a37,83eef0ad50960863,3.0,5.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:0|,cartservice@POST@/hipstershop.CartService/GetCart:116|
21,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,b905e6ddecdd13fb455c2b881164b36a,9d7a17fd5a2e038c,83eef0ad50960863,32.0,33.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:112|
22,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,b905e6ddecdd13fb455c2b881164b36a,f86f0bfabda45700,360f1d2e1d308b6d,35.0,39.0,4.0,4.0,4.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:0|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:152|
23,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,b905e6ddecdd13fb455c2b881164b36a,d940082d5ca2f4ac,83eef0ad50960863,27.0,28.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:0|,paymentservice@POST@/hipstershop.PaymentService/Charge:120|
24,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,c98daf2c7e1e6a3c67bd64984e4999a3,b2f41a0d998e8be2,2531d795c441147a,32.0,33.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:104|
25,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,c98daf2c7e1e6a3c67bd64984e4999a3,2531d795c441147a,224641f0c7b91a10,3.0,34.0,31.0,28.0,31.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:0|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:140|
26,us-west-1,sslateingress,POST,/cart/checkout,c98daf2c7e1e6a3c67bd64984e4999a3,67bd64984e4999a3,nan,0.0,59.0,59.0,2.0,59.0,-1,sslateingress@POST@/cart/checkout:0|,sslateingress@POST@/cart/checkout:160|
27,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,c98daf2c7e1e6a3c67bd64984e4999a3,93bcdde3b2f45762,224641f0c7b91a10,52.0,53.0,1.0,1.0,1.0,-1,currencyservice@POST@/hipstershop.CurrencyService/Convert:0|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:0|,currencyservice@POST@/hipstershop.CurrencyService/Convert:272|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:148|
28,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,c98daf2c7e1e6a3c67bd64984e4999a3,b6dc4d7dab7759d9,224641f0c7b91a10,36.0,39.0,3.0,3.0,3.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:0|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:108|
