,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
22,us-west-1,sslateingress,POST,/multicore,687db382f706bf73d6252ae24b00e9b9,d6252ae24b00e9b9,nan,0.0,19.0,19.0,3.0,19.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
23,us-west-1,corecontrast,POST,/multicore,687db382f706bf73d6252ae24b00e9b9,ea51866b03eff3f3,d6252ae24b00e9b9,2.0,18.0,16.0,16.0,16.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:84|
24,us-west-1,sslateingress,POST,/multicore,24e5fb10c3dda8004e98b3234f469aca,4e98b3234f469aca,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:84|
25,us-west-1,corecontrast,POST,/multicore,24e5fb10c3dda8004e98b3234f469aca,0e9eec92568c42ec,4e98b3234f469aca,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:116|
26,us-west-1,sslateingress,POST,/multicore,071e40fc18f9521e37c7ad7fb085420e,37c7ad7fb085420e,nan,0.0,24.0,24.0,3.0,24.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:84|
27,us-west-1,corecontrast,POST,/multicore,071e40fc18f9521e37c7ad7fb085420e,025581793d3d0f79,37c7ad7fb085420e,1.0,22.0,21.0,21.0,21.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
28,us-west-1,sslateingress,POST,/multicore,481ad753a902943e23f84ee3c47603f5,23f84ee3c47603f5,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:80|
29,us-west-1,corecontrast,POST,/multicore,481ad753a902943e23f84ee3c47603f5,62ddba7fb728bdbe,23f84ee3c47603f5,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:120|
30,us-west-1,corecontrast,POST,/multicore,14cc488dfdcf7d30a31d00bcf322f34a,7a0d173291066bca,a31d00bcf322f34a,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
31,us-west-1,sslateingress,POST,/multicore,14cc488dfdcf7d30a31d00bcf322f34a,a31d00bcf322f34a,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:120|
