,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,8a63d98b87b3d17604da31f33c9e9655,cff48eeb235691a0,0f173fa72743ab2e,37.0,41.0,4.0,4.0,4.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:2024|
1,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,8a63d98b87b3d17604da31f33c9e9655,30269d3da3e54d74,0f173fa72743ab2e,54.0,55.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1736|
2,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,8a63d98b87b3d17604da31f33c9e9655,0f173fa72743ab2e,0d19850fc1b31391,35.0,67.0,32.0,23.0,32.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1848|
3,us-west-1,sslateingress,POST,/cart/checkout,8a63d98b87b3d17604da31f33c9e9655,04da31f33c9e9655,nan,0.0,101.0,101.0,41.0,101.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:2488|
4,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,8a63d98b87b3d17604da31f33c9e9655,65ecb42bab380ad9,0d19850fc1b31391,73.0,90.0,17.0,17.0,17.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1616|
5,us-west-1,frontend,POST,/cart/checkout,8a63d98b87b3d17604da31f33c9e9655,0d19850fc1b31391,04da31f33c9e9655,32.0,92.0,60.0,11.0,60.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:2024|
6,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,8a63d98b87b3d17604da31f33c9e9655,542986af8a89db83,0f173fa72743ab2e,48.0,50.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:1496|
7,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,8a63d98b87b3d17604da31f33c9e9655,1cea006173185ce8,0f173fa72743ab2e,58.0,65.0,7.0,7.0,7.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1456|
8,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,a4cf1a14e473f74437e071cc46b8cbdc,c9590149a5625587,0f2a65fbb20ba8ea,403.0,424.0,21.0,21.0,21.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1632|
9,us-west-1,sslateingress,POST,/cart/checkout,a4cf1a14e473f74437e071cc46b8cbdc,37e071cc46b8cbdc,nan,0.0,486.0,486.0,69.0,486.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:2200|
