,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,corecontrast,POST,/multicore,863e312207e802a8864ec86c7a095083,0696cff37eea6067,864ec86c7a095083,13.0,27.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:168|
1,us-west-1,sslateingress,POST,/multicore,863e312207e802a8864ec86c7a095083,864ec86c7a095083,nan,0.0,32.0,32.0,18.0,32.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:124|
2,us-west-1,corecontrast,POST,/multicore,81aaf5611c1eb42fe9694d67c680b973,d7d36d1304ef56bf,e9694d67c680b973,2.0,14.0,12.0,12.0,12.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:256|
3,us-west-1,sslateingress,POST,/multicore,81aaf5611c1eb42fe9694d67c680b973,e9694d67c680b973,nan,0.0,15.0,15.0,3.0,15.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:240|
4,us-west-1,corecontrast,POST,/multicore,cee3fab3aa98a69fb2da399e03b60685,d4a28df94de8a011,b2da399e03b60685,1.0,9.0,8.0,8.0,8.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:368|
5,us-west-1,sslateingress,POST,/multicore,cee3fab3aa98a69fb2da399e03b60685,b2da399e03b60685,nan,0.0,10.0,10.0,2.0,10.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:348|
6,us-west-1,corecontrast,POST,/multicore,9398f842db01ab4a88673af17e49c3ed,7c1fe405847cd0ec,88673af17e49c3ed,1.0,12.0,11.0,11.0,11.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:516|
7,us-west-1,sslateingress,POST,/multicore,9398f842db01ab4a88673af17e49c3ed,88673af17e49c3ed,nan,0.0,13.0,13.0,2.0,13.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:516|
8,us-west-1,corecontrast,POST,/multicore,d5374fe3a5c55f1922b8c993f8a95ccd,05fd39d88206ae01,22b8c993f8a95ccd,1.0,9.0,8.0,8.0,8.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:672|
9,us-west-1,sslateingress,POST,/multicore,d5374fe3a5c55f1922b8c993f8a95ccd,22b8c993f8a95ccd,nan,0.0,11.0,11.0,3.0,11.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:640|
10,us-west-1,corecontrast,POST,/multicore,2aad20c8c718c56c3b0a85fdadf00c08,4a65405dc5d75cc3,3b0a85fdadf00c08,1.0,11.0,10.0,10.0,10.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:644|
