,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
22,us-west-1,sslateingress,POST,/multicore,ce81de94e15b8ea1ada2cea0fbe560da,ada2cea0fbe560da,nan,0.0,277.0,277.0,104.0,277.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:116|
23,us-west-1,corecontrast,POST,/multicore,ce81de94e15b8ea1ada2cea0fbe560da,c56bb00177c97193,ada2cea0fbe560da,78.0,251.0,173.0,173.0,173.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:116|
24,us-west-1,sslateingress,POST,/multicore,36dd70d8bef4e1f15877fecfc1f03b9e,5877fecfc1f03b9e,nan,0.0,126.0,126.0,98.0,126.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:148|
25,us-west-1,corecontrast,POST,/multicore,36dd70d8bef4e1f15877fecfc1f03b9e,7e53d39b63820299,5877fecfc1f03b9e,95.0,123.0,28.0,28.0,28.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:160|
26,us-west-1,sslateingress,POST,/multicore,419ccbaaf73897553382326ff6cf97d7,3382326ff6cf97d7,nan,0.0,251.0,251.0,14.0,251.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:460|
27,us-west-1,corecontrast,POST,/multicore,419ccbaaf73897553382326ff6cf97d7,ca3a181c2e2edf02,3382326ff6cf97d7,12.0,249.0,237.0,237.0,237.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:504|
28,us-west-1,sslateingress,POST,/multicore,146e00916b94126a7475bb9f00f3f612,7475bb9f00f3f612,nan,0.0,264.0,264.0,9.0,264.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:788|
29,us-west-1,corecontrast,POST,/multicore,146e00916b94126a7475bb9f00f3f612,bd566777e9c7b033,7475bb9f00f3f612,8.0,263.0,255.0,255.0,255.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:700|
30,us-west-1,sslateingress,POST,/multicore,607a23cd455cd9e90baea353b55edc3d,0baea353b55edc3d,nan,0.0,145.0,145.0,9.0,145.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1208|
31,us-west-1,corecontrast,POST,/multicore,607a23cd455cd9e90baea353b55edc3d,929f7802d8b4e3d8,0baea353b55edc3d,6.0,142.0,136.0,136.0,136.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1184|
32,us-west-1,corecontrast,POST,/multicore,d06d9661bf96753d948a96caad452659,731e3e18e5b1533e,948a96caad452659,68.0,279.0,211.0,211.0,211.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:112|
33,us-west-1,sslateingress,POST,/multicore,d06d9661bf96753d948a96caad452659,948a96caad452659,nan,0.0,281.0,281.0,70.0,281.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:128|
34,us-west-1,corecontrast,POST,/multicore,fb637614578e554ac6de35b9111de35c,226d6e0733197044,c6de35b9111de35c,5.0,300.0,295.0,295.0,295.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:504|
35,us-west-1,sslateingress,POST,/multicore,fb637614578e554ac6de35b9111de35c,c6de35b9111de35c,nan,0.0,301.0,301.0,6.0,301.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:548|
36,us-west-1,corecontrast,POST,/multicore,b7ffed5123ee0168303b4e82113b6927,566af2f2c2ec626f,303b4e82113b6927,2.0,265.0,263.0,263.0,263.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:984|
37,us-west-1,sslateingress,POST,/multicore,b7ffed5123ee0168303b4e82113b6927,303b4e82113b6927,nan,0.0,266.0,266.0,3.0,266.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:968|
38,us-west-1,corecontrast,POST,/multicore,7dd0e9ab1f8ed446a774da9d3a89753d,b7abf297db37e6a3,a774da9d3a89753d,12.0,165.0,153.0,153.0,153.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1252|
39,us-west-1,sslateingress,POST,/multicore,7dd0e9ab1f8ed446a774da9d3a89753d,a774da9d3a89753d,nan,0.0,169.0,169.0,16.0,169.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1204|
40,us-west-1,corecontrast,POST,/multicore,c9fe9473ac72b5a44dec36da9b12fdda,351f3f0bf59fb394,4dec36da9b12fdda,1.0,138.0,137.0,137.0,137.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1256|
41,us-west-1,sslateingress,POST,/multicore,c9fe9473ac72b5a44dec36da9b12fdda,4dec36da9b12fdda,nan,0.0,145.0,145.0,8.0,145.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1248|
42,us-west-1,corecontrast,POST,/multicore,f19dc515a29ea0b9a90cbbe200c3c0bf,c6e64dabadb79a18,a90cbbe200c3c0bf,4.0,136.0,132.0,132.0,132.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1260|
43,us-west-1,sslateingress,POST,/multicore,f19dc515a29ea0b9a90cbbe200c3c0bf,a90cbbe200c3c0bf,nan,0.0,138.0,138.0,6.0,138.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1208|
44,us-west-1,corecontrast,POST,/multicore,95a0bd97da1b055a492be7bb1e1df6a7,15de3357a7321be8,492be7bb1e1df6a7,4.0,642.0,638.0,638.0,638.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1192|
45,us-west-1,sslateingress,POST,/multicore,95a0bd97da1b055a492be7bb1e1df6a7,492be7bb1e1df6a7,nan,0.0,648.0,648.0,10.0,648.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1204|
46,us-west-1,corecontrast,POST,/multicore,bd2445464e58bfce9450739a8d301e34,f660cee2988b3ac1,9450739a8d301e34,15.0,38.0,23.0,23.0,23.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1192|
47,us-west-1,sslateingress,POST,/multicore,bd2445464e58bfce9450739a8d301e34,9450739a8d301e34,nan,0.0,40.0,40.0,17.0,40.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1180|
48,us-west-1,sslateingress,POST,/multicore,7ee85b60abfbc0ecc1920d41706193d5,c1920d41706193d5,nan,0.0,373.0,373.0,9.0,373.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:532|
49,us-west-1,corecontrast,POST,/multicore,7ee85b60abfbc0ecc1920d41706193d5,9f8a41ac0b03c6c5,c1920d41706193d5,4.0,368.0,364.0,364.0,364.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:540|
50,us-west-1,sslateingress,POST,/multicore,633be9b65378f2a71b878b6fdcba3e83,1b878b6fdcba3e83,nan,0.0,254.0,254.0,14.0,254.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:776|
51,us-west-1,corecontrast,POST,/multicore,633be9b65378f2a71b878b6fdcba3e83,6e5130998f2b059e,1b878b6fdcba3e83,13.0,253.0,240.0,240.0,240.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:816|
52,us-west-1,sslateingress,POST,/multicore,6fc1ea36316fff955d187dc4314a73bd,5d187dc4314a73bd,nan,0.0,150.0,150.0,5.0,150.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:836|
53,us-west-1,corecontrast,POST,/multicore,6fc1ea36316fff955d187dc4314a73bd,4dea1d1c46f2548c,5d187dc4314a73bd,1.0,146.0,145.0,145.0,145.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:912|
54,us-west-1,sslateingress,POST,/multicore,28028792cab8f7be7992b2bf13f9c6b0,7992b2bf13f9c6b0,nan,0.0,133.0,133.0,5.0,133.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1080|
55,us-west-1,corecontrast,POST,/multicore,28028792cab8f7be7992b2bf13f9c6b0,8c7f63bb5914299f,7992b2bf13f9c6b0,3.0,131.0,128.0,128.0,128.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1072|
56,us-west-1,sslateingress,POST,/multicore,f7f09ddba8fa4421f682cc08b6973fb9,f682cc08b6973fb9,nan,0.0,100.0,100.0,4.0,100.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1240|
57,us-west-1,corecontrast,POST,/multicore,f7f09ddba8fa4421f682cc08b6973fb9,766b8ae1ef6b8e59,f682cc08b6973fb9,3.0,99.0,96.0,96.0,96.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1280|
58,us-west-1,sslateingress,POST,/multicore,4e2fecbfacf0f7daeeb9f51ea9244fa0,eeb9f51ea9244fa0,nan,0.0,2069.0,2069.0,11.0,2069.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1252|
59,us-west-1,corecontrast,POST,/multicore,4e2fecbfacf0f7daeeb9f51ea9244fa0,df4a69957df247dc,eeb9f51ea9244fa0,2.0,2060.0,2058.0,2058.0,2058.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1232|
60,us-west-1,sslateingress,POST,/multicore,6eeeff59767f6b00fbffec4a6a8abf68,fbffec4a6a8abf68,nan,0.0,406.0,406.0,109.0,406.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:300|
61,us-west-1,corecontrast,POST,/multicore,6eeeff59767f6b00fbffec4a6a8abf68,a534a6f0313a5b75,fbffec4a6a8abf68,105.0,402.0,297.0,297.0,297.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:436|
62,us-west-1,sslateingress,POST,/multicore,9615e1b3e83faa0679ae56b0013b4162,79ae56b0013b4162,nan,0.0,166.0,166.0,15.0,166.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:588|
63,us-west-1,corecontrast,POST,/multicore,9615e1b3e83faa0679ae56b0013b4162,8b6bceedab3af229,79ae56b0013b4162,12.0,163.0,151.0,151.0,151.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:668|
64,us-west-1,sslateingress,POST,/multicore,a7dd7fa5e2470b58a7027938a9388a02,a7027938a9388a02,nan,0.0,262.0,262.0,4.0,262.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:668|
65,us-west-1,corecontrast,POST,/multicore,a7dd7fa5e2470b58a7027938a9388a02,324e32a658926532,a7027938a9388a02,3.0,261.0,258.0,258.0,258.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:672|
66,us-west-1,sslateingress,POST,/multicore,ee109b1e2f9a3cdad9fe9ac59de6cf70,d9fe9ac59de6cf70,nan,0.0,140.0,140.0,4.0,140.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1172|
67,us-west-1,corecontrast,POST,/multicore,ee109b1e2f9a3cdad9fe9ac59de6cf70,becf8ec3cf020854,d9fe9ac59de6cf70,3.0,139.0,136.0,136.0,136.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1300|
68,us-west-1,sslateingress,POST,/multicore,f6278c7f3db32f525bd5e22eb61facb8,5bd5e22eb61facb8,nan,0.0,96.0,96.0,5.0,96.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1240|
69,us-west-1,corecontrast,POST,/multicore,f6278c7f3db32f525bd5e22eb61facb8,65cd61cd8274bea9,5bd5e22eb61facb8,4.0,95.0,91.0,91.0,91.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1236|
70,us-west-1,sslateingress,POST,/multicore,350ebc214175b7a0b0f9d1391ecac60b,b0f9d1391ecac60b,nan,0.0,71.0,71.0,3.0,71.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1204|
