Seconds Elapsed,us-west-1,us-central-1,loadgen-node
1.3e-05,65.0,58.8,12.299999999999997
4.645211,70.4,57.2,3.0999999999999943
9.265246,74.1,60.3,7.099999999999994
13.905201,74.9,59.6,3.799999999999997
18.573226,70.6,58.3,3.5999999999999943
23.197191,71.6,57.0,8.5
27.821219,71.2,58.8,12.400000000000006
32.549368,73.1,57.6,3.200000000000003
37.1852,72.9,57.5,6.299999999999997
41.821371,72.9,57.9,4.5
46.461214,73.5,57.1,3.0999999999999943
51.1012,71.6,57.9,3.299999999999997
55.753201,70.9,58.9,7.0
60.381352,71.9,57.5,3.4000000000000057
65.001245,71.3,61.8,2.9000000000000057
69.633211,73.6,59.3,5.599999999999994
74.277291,70.7,57.6,5.200000000000003
78.953189,72.3,57.6,3.799999999999997
83.597191,70.2,58.8,5.200000000000003
88.207577,71.8,59.0,4.799999999999997
92.841226,72.9,59.5,3.5999999999999943
97.489647,70.6,57.8,4.099999999999994
102.125201,74.0,58.8,4.400000000000006
106.762272,73.3,58.0,3.799999999999997
111.457218,73.6,58.8,3.299999999999997
116.14522,74.6,58.3,4.900000000000006
120.785201,71.5,58.9,8.599999999999994
125.433196,73.4,60.2,6.5
130.061351,75.7,59.0,6.5
134.710518,72.7,60.6,2.5999999999999943
139.401194,72.6,59.4,3.700000000000003
144.04119,71.7,58.7,5.200000000000003
148.669234,70.8,58.2,5.099999999999994
153.301198,72.8,59.2,5.099999999999994
157.937207,72.4,60.3,2.5999999999999943
162.569189,72.9,59.6,13.299999999999997
167.201719,75.1,58.1,4.400000000000006
171.857217,72.7,60.4,10.299999999999997
176.473198,74.9,56.7,5.799999999999997
181.097204,76.5,60.2,3.0999999999999943
185.7581,72.3,61.8,3.0999999999999943
190.405516,70.0,59.6,7.5
195.065228,75.9,58.6,6.099999999999994
199.681918,74.6,61.2,6.799999999999997
204.313222,75.9,60.7,2.9000000000000057
208.957213,70.6,59.2,5.400000000000006
213.606264,72.5,61.7,4.200000000000003
218.257283,74.5,60.4,4.0
222.969238,75.7,59.4,5.099999999999994
227.617231,73.5,60.5,3.799999999999997
232.235521,74.8,58.6,3.0999999999999943
236.849507,73.1,58.5,4.0
241.481191,74.6,59.3,5.799999999999997
246.137226,75.3,65.2,8.099999999999994
250.861194,74.0,60.1,4.0
255.509235,76.2,61.0,3.700000000000003
260.142245,75.9,58.9,4.200000000000003
264.781204,74.2,60.8,3.0999999999999943
269.40519,74.3,60.7,7.299999999999997
274.035067,73.9,61.5,4.0
278.657608,75.9,60.1,3.799999999999997
283.3012,75.4,61.1,5.799999999999997
287.943952,74.1,62.0,3.799999999999997
292.56411,76.9,62.2,5.599999999999994
297.249201,77.3,61.7,3.0
