,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
20,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,fc4a384ba47ee024b4d47cf6026aeaf9,4561d2d86fb861f1,16a31266016a6bae,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:600|
21,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,fc4a384ba47ee024b4d47cf6026aeaf9,d931f4126bc6218a,e4ab75fc4c2dbdb1,22.0,28.0,6.0,6.0,6.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:552|
22,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,fc4a384ba47ee024b4d47cf6026aeaf9,f236fce76c44a95a,16a31266016a6bae,15.0,16.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:560|
23,us-west-1,frontend,POST,/cart/checkout,fc4a384ba47ee024b4d47cf6026aeaf9,e4ab75fc4c2dbdb1,b4d47cf6026aeaf9,2.0,30.0,28.0,6.0,28.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:584|
24,us-west-1,sslateingress,POST,/cart/checkout,5ac02c5cbcbd7fa9126310e6bcd66ab3,126310e6bcd66ab3,nan,0.0,32.0,32.0,2.0,32.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:608|
25,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,5ac02c5cbcbd7fa9126310e6bcd66ab3,8bdbb3d49b1fddc9,357ecc47a6b5dd20,24.0,29.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:568|
26,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,5ac02c5cbcbd7fa9126310e6bcd66ab3,c39183aa355977f6,fd0fa4bbea02dcab,4.0,5.0,1.0,1.0,1.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:592|
27,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,5ac02c5cbcbd7fa9126310e6bcd66ab3,2244a5e0e2311a4a,fd0fa4bbea02dcab,14.0,15.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709549232|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:568|
28,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,5ac02c5cbcbd7fa9126310e6bcd66ab3,05031b452e6ccef4,fd0fa4bbea02dcab,18.0,20.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:560|
29,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,5ac02c5cbcbd7fa9126310e6bcd66ab3,50cd315c13735280,fd0fa4bbea02dcab,10.0,12.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
