,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
22,us-west-1,sslateingress,POST,/cart,864c80352785a2ae298a40aacca1223d,298a40aacca1223d,nan,0.0,8.0,8.0,2.0,8.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:468|
23,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,864c80352785a2ae298a40aacca1223d,28eabb4d3b5a59fe,ebd77cc2edd37268,4.0,6.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:360|
24,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,f0140424ce437f567ad17c30143da893,0b2b2411997fbbcb,e14d745b1fbd414f,5.0,30.0,25.0,25.0,25.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:2|,cartservice@POST@/hipstershop.CartService/AddItem:420|
25,us-west-1,sslateingress,POST,/cart,f0140424ce437f567ad17c30143da893,7ad17c30143da893,nan,0.0,35.0,35.0,3.0,35.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:404|
26,us-west-1,frontend,POST,/cart,f0140424ce437f567ad17c30143da893,e14d745b1fbd414f,7ad17c30143da893,2.0,34.0,32.0,6.0,32.0,-1,frontend@POST@/cart:4|,frontend@POST@/cart:352|
27,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,f0140424ce437f567ad17c30143da893,bb2ac76f399b67a2,e14d745b1fbd414f,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709550571|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:372|
28,us-west-1,frontend,POST,/cart,6c2190abc927725682884eee132a93b9,ec9472a0fc8faf7d,82884eee132a93b9,2.0,121.0,119.0,113.0,119.0,-1,frontend@POST@/cart:3|,frontend@POST@/cart:432|
29,us-west-1,sslateingress,POST,/cart,6c2190abc927725682884eee132a93b9,82884eee132a93b9,nan,0.0,122.0,122.0,3.0,122.0,-1,sslateingress@POST@/cart:3|,sslateingress@POST@/cart:424|
30,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,6c2190abc927725682884eee132a93b9,6132cdfe40778a86,ec9472a0fc8faf7d,7.0,8.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709550398|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:400|
31,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,6c2190abc927725682884eee132a93b9,70bb93a2f8309457,ec9472a0fc8faf7d,112.0,117.0,5.0,5.0,5.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:3|,cartservice@POST@/hipstershop.CartService/AddItem:344|
