counter,region,service,endpoint,rps
47,us-east-1,sslateingress,sslateingress@POST@/multicore,195
47,us-east-1,sslateingress,sslateingress@POST@/singlecore,54
47,us-east-1,corecontrast,corecontrast@POST@/singlecore,59
47,us-east-1,corecontrast,corecontrast@POST@/multicore,206
47,us-south-1,sslateingress,sslateingress@POST@/multicore,215
47,us-south-1,sslateingress,sslateingress@POST@/singlecore,52
47,us-south-1,corecontrast,corecontrast@POST@/singlecore,54
47,us-south-1,corecontrast,corecontrast@POST@/multicore,209
48,us-west-1,sslateingress,sslateingress@POST@/multicore,195
48,us-west-1,sslateingress,sslateingress@POST@/singlecore,57
48,us-west-1,corecontrast,corecontrast@POST@/singlecore,53
48,us-west-1,corecontrast,corecontrast@POST@/multicore,200
48,us-central-1,corecontrast,corecontrast@POST@/singlecore,52
48,us-central-1,corecontrast,corecontrast@POST@/multicore,195
48,us-central-1,sslateingress,sslateingress@POST@/multicore,200
48,us-central-1,sslateingress,sslateingress@POST@/singlecore,59
48,us-east-1,sslateingress,sslateingress@POST@/multicore,208
48,us-east-1,sslateingress,sslateingress@POST@/singlecore,55
48,us-east-1,corecontrast,corecontrast@POST@/singlecore,53
48,us-east-1,corecontrast,corecontrast@POST@/multicore,203
48,us-south-1,sslateingress,sslateingress@POST@/multicore,196
48,us-south-1,sslateingress,sslateingress@POST@/singlecore,51
48,us-south-1,corecontrast,corecontrast@POST@/singlecore,57
48,us-south-1,corecontrast,corecontrast@POST@/multicore,203
49,us-west-1,sslateingress,sslateingress@POST@/multicore,214
49,us-west-1,sslateingress,sslateingress@POST@/singlecore,48
49,us-west-1,corecontrast,corecontrast@POST@/singlecore,51
49,us-west-1,corecontrast,corecontrast@POST@/multicore,209
49,us-central-1,corecontrast,corecontrast@POST@/singlecore,57
49,us-central-1,corecontrast,corecontrast@POST@/multicore,216
49,us-central-1,sslateingress,sslateingress@POST@/multicore,201
49,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
49,us-east-1,sslateingress,sslateingress@POST@/multicore,206
49,us-east-1,sslateingress,sslateingress@POST@/singlecore,58
49,us-east-1,corecontrast,corecontrast@POST@/singlecore,48
49,us-east-1,corecontrast,corecontrast@POST@/multicore,205
49,us-south-1,sslateingress,sslateingress@POST@/multicore,180
49,us-south-1,sslateingress,sslateingress@POST@/singlecore,59
49,us-south-1,corecontrast,corecontrast@POST@/singlecore,50
49,us-south-1,corecontrast,corecontrast@POST@/multicore,191
50,us-west-1,sslateingress,sslateingress@POST@/multicore,207
50,us-west-1,sslateingress,sslateingress@POST@/singlecore,52
50,us-west-1,corecontrast,corecontrast@POST@/singlecore,50
50,us-west-1,corecontrast,corecontrast@POST@/multicore,205
50,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
