,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
,108,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-central-1,us-central-1,208,211,0.985781990521327
,108,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-central-1,us-south-1,3,211,0.014218009478672985
,108,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-south-1,us-south-1,194,194,1.0
,108,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-east-1,us-east-1,201,201,1.0
,108,sslateingress,corecontrast,sslateingress@POST@/multicore,corecontrast@POST@/multicore,us-west-1,us-west-1,196,196,1.0
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-central-1,49,211,0.23222748815165878
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-south-1,51,211,0.24170616113744076
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-east-1,56,211,0.26540284360189575
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/singlecore,XXXX,us-west-1,55,211,0.26066350710900477
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-central-1,210,801,0.26217228464419473
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-south-1,194,801,0.2421972534332085
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-east-1,201,801,0.250936329588015
,108,SOURCE,sslateingress,SOURCE,sslateingress@POST@/multicore,XXXX,us-west-1,196,801,0.24469413233458176
,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
,109,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-central-1,us-central-1,49,49,1.0
,109,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-south-1,us-south-1,51,51,1.0
,109,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-east-1,us-central-1,2,58,0.034482758620689655
,109,sslateingress,corecontrast,sslateingress@POST@/singlecore,corecontrast@POST@/singlecore,us-east-1,us-south-1,2,58,0.034482758620689655
